tweet-id,username,date,text,like-count
at://did:plc:uyemf6niinxjzirk7pbzzt3j/app.bsky.feed.post/3l7yqt2eatx2x,andrewdessler.com,2022-08-25,"Sad to report the passing of Tim Barnett (h/t @mdettinger).    In 2009, Tim wrote a paper about when Lake Mead would run dry.  His conclusion: about now.  It seemed alarmist at the time, but what we're finding out is that the reality of climate change *is* alarming.",0
at://did:plc:qcrpdkcfapeoom7d7d4adht2/app.bsky.feed.post/3l7zbhjwfl72g,patricksiegman.bsky.social,2022-10-18,driving.”  https://news.yahoo.com/california-parking-space-law-aims-for-affordable-housing-and-climate-change-win-win-222640846.html,0
at://did:plc:qcrpdkcfapeoom7d7d4adht2/app.bsky.feed.post/3l7zcptvf6c2k,patricksiegman.bsky.social,2022-09-28,parking.”  #AB2097 https://time.com/6217873/parking-lots-climate-change-california/,0
at://did:plc:kec5p5njdxj7lpeqcsqm4tfj/app.bsky.feed.post/3l7ygli6o3423,brdemuth.bsky.social,2022-09-16,times.  https://www.washingtonpost.com/outlook/2022/09/15/alaska-salmon-climate-change-indigenous-communities/ ,0
at://did:plc:vuygvcdkigm2yohrxfyzw3mx/app.bsky.feed.post/3la23dnul6d26,ashponders.bsky.social,2022-08-05,  https://www.hcn.org/articles/south-climate-change-scientists-unravel-the-origins-of-the-southwests-monsoon,0
at://did:plc:75l7jiwmiq43lkq6qkeih7cw/app.bsky.feed.post/3la2rcgmkzd24,kellyhereid.bsky.social,2022-10-27,"This conflict gets more important as we rely more on hydropower for renewable baseload in our energy grids. If the downside to losing that grid capacity is catastrophic, we may lean more toward keeping reservoirs full... exacerbating increased flood risk from climate change. 2/2",0
at://did:plc:75l7jiwmiq43lkq6qkeih7cw/app.bsky.feed.post/3la2qtpu4oc22,kellyhereid.bsky.social,2022-10-06,Climate change + critical components of the built environment: 1/3 of coastal metros subject to hurricanes would see at least half of their hospitals inundated by surge in a Cat 2 hurricane. *Before* sea level rise....,0
at://did:plc:abgbkyokj5pb2umhwn7r534v/app.bsky.feed.post/3la4ipjfwqf2c,tonamiplayman.bsky.social,2022-09-11,"But IMHO, it won't the threat of an uprising that will bring the capital under duress, but the threat of climate change & water depletion. All that desert sprawl will just exacerbate the situation, but unfortunately it will also take the residents of Cairo with it.",0
at://did:plc:kjcukrcwlmmbdxjjfh6mwe7w/app.bsky.feed.post/3la4j7egdxt27,philiploring.com,2022-10-14,The rage that young people feel over climate change and the ecological catastrophes they're inheriting is real. People in older generations do not need to understand it for it to be valid.  How they choose to express it via civil disobedience does not need to be peer reviewed,0
at://did:plc:peaoldbabwit6utzwks2efqp/app.bsky.feed.post/3lafqfoozgz2r,deepseadawn.bsky.social,2022-09-29,"Op-Ed from yours truly: ""The technology to fight climate change that we're not using nearly enough"" https://www.latimes.com/opinion/story/2022-09-29/climate-change-oceans-technology-maps w/thanks again to @VictorVescovo @EYOSExpeditions",0
at://did:plc:rgwvswmbqm77m3vshaabykbk/app.bsky.feed.post/3lafgvprz6a2v,greenmtgirl.bsky.social,2022-10-26,"We slept with all the windows open last night.  Outside, the only trees with foliage still on them are the tamaracks, bright gold.  In the garden my lettuces are coming back from the dead. Zombie lettuce!  #ClimateEmergency",0
at://did:plc:peaoldbabwit6utzwks2efqp/app.bsky.feed.post/3lafsgqlzxx2a,deepseadawn.bsky.social,2022-08-12,New sensors and satellites mean more data are available to tackle #climatechange. Start with a comprehensive view of the problem. Vote here for our @sxsw session by Aug. 21: http://panelpicker.sxsw.com/vote/130911 #SXSW cc @KHayhoe @GlobalEcoGuy @caseorganic @GISandScience,1
