Tweet_count,Username,Followers Count,text,Created at,Likes,Retweets,Replies,Hashtags,Tweet ID,Place Name,User Location,Jahr,Monat
1,Kushtrim Xhakli,3145,"Recommending people to watch ""An Inconvenient Truth"" movie about climate change and global warming.",Mon Dec 11 22:08:14 +0000 2006,0,0,0,,971753,,"Helsinki, Finland",2006,12
1,BBC Science News,1821966,"Climate change is as great a threat to humankind as nuclear annihilation, global security experts conclude. http://tinyurl.com/39rknu",Wed Jan 17 14:50:45 +0000 2007,0,0,0,,3132213,,"London, England",2007,1
2,Ars Technica,1178489,[Nobel Intent] Global climate change report expected on Friday - http://tinyurl.com/2cuws8,Tue Jan 30 18:30:16 +0000 2007,0,0,0,,4711363,,NYC - Boston - Chicago - SF,2007,1
3,BBC News (UK),15403961,"Climate change is as great a threat to humankind as nuclear annihilation, global security experts conclude. http://tinyurl.com/39rknu",Wed Jan 17 15:00:59 +0000 2007,0,0,0,,3133273,,London,2007,1
1,BBC Science News,1821966,"Al Gore says his Nobel Peace Prize is a chance  to ""elevate global consciousness"" about climate change. http://tinyurl.com/yw58u5",Fri Oct 12 18:19:12 +0000 2007,0,0,0,,331353682,,"London, England",2007,10
3,peace news,2378,Experts: Climate change threatens peace (AP via Yahoo! News): What does global warming have to do with gl.. http://tinyurl.com/2qaozy,Fri Oct 12 21:10:50 +0000 2007,0,0,0,,331664692,,,2007,10
4,NPR,8402176,"Climate Change a Global and Diplomatic Issue: Al Gore says he's ""deeply honored"" to be named co-winner of.. http://tinyurl.com/35m8du",Fri Oct 12 14:01:06 +0000 2007,0,0,0,,330780202,,,2007,10
5,Dave's Podcatcher,94,"NPR: Fresh Air, Stories:  1) Gore Sounds Alarm on Global Climate Change 2) 'Bridge of Sighs' Captures... http://tinyurl.com/2qfm79",Sat Oct 13 02:02:49 +0000 2007,0,0,0,,332113892,,New York,2007,10
6,BBC News (World),41194965,"Al Gore says his Nobel Peace Prize is a chance  to ""elevate global consciousness"" about climate change. http://tinyurl.com/22y39x",Fri Oct 12 18:19:39 +0000 2007,0,0,0,,331354452,,"London, UK",2007,10
7,sfgeek,462,Absolutely sweltering outside today. 93 degrees in the 2nd week of october. Global climate change anyone?,Tue Oct 09 20:37:11 +0000 2007,0,0,0,,323627732,,Bi-Costal,2007,10
