video-id,comment-id,username,date,text,like-count
nmgtQ_sYHpA,UggVfjzzylMLWngCoAEC,@hhhoshiii,2017-01-08,F IS FOR GIANT ROBOTU IS FOR GIANT ROBOT N IS FOR GIANT ROBOT,11182
nmgtQ_sYHpA,Ugwb7sKJf9RPBJ8QhRt4AaABAg,@chloepieakastartastic8004,2018-04-27,The internet used to be so pure and innocent..,7913
nmgtQ_sYHpA,UghTGwrkzcI0AHgCoAEC,@ignqloof,2016-11-11,I have just realized how old SpongeBob is,7037
nmgtQ_sYHpA,Ugz2ZqeWA76XgVHwJM94AaABAg,@notbubblystarters05,2019-02-28,SpongeBob&#39;s Stephen and Edd Gould. Two Legends. Bless their souls.</b>,5783
nmgtQ_sYHpA,UgxXAAuGvdk6TrIDZz14AaABAg,@crowd8514,2019-05-04,Who lives in a giant robot under the sea?*TO-RD LARR-SON*</b>,3876
nmgtQ_sYHpA,UgyNYoU5DmI12IG353d4AaABAg,@randofunk,2018-06-28,"now that i think about it, Edd made it look like he really missed Tord XD</b>",2426
nmgtQ_sYHpA,Ugw6jSAANjsNBudvy3Z4AaABAg,@t0mm187,2021-08-20,"Tord left, Edd died, Tom quit, its only Matt now.I’m crying. I miss the team.",1981
nmgtQ_sYHpA,UgzriD94vmeE3mKwTU54AaABAg,@sourmelonscribbles8087,2019-04-02,Tord Forgot What edd Taught Him. Tord Definitely forgot What edd taught him. Definitely</b>,1967
nmgtQ_sYHpA,UggDi1ns2rZ0BngCoAEC,@oof6875,2016-08-21,f is for fire that burns down the whole houseu is for useless armn is no regrets of trying to kill tom and this is what tord did :/(this vid sums up &#39;the end&#39;),1750
nmgtQ_sYHpA,UgwXvCvBtmEscdNVGMB4AaABAg,@miyo9911,2020-05-18,Edd and his :3 faces are giving me life,1652
nmgtQ_sYHpA,UgyQLov3D0u3Us52IRl4AaABAg,@MightyJKF,2020-10-09,back when the “:3” face didnt made you a furry,1461
nmgtQ_sYHpA,UgybRsRdyGh5YYpgTF94AaABAg,@gogopowersentai3801,2019-05-12,H is for &quot;Hello old friends&quot; xd</b>,1411
nmgtQ_sYHpA,UgwJJPHYq9aetPk4Lut4AaABAg,@MoKuZai,2020-08-01,"i miss edd, such a nice person and animator...i’m crying a bit.",1286
nmgtQ_sYHpA,Ugynyf6VYOoB1n_x2sJ4AaABAg,@liltan572,2017-11-02,Matt:F is for my faceU is for you and me    looks at mirror</b>N is for NOT MY FACE!!     Tom:F is for fleeingU is for utility N is for noisiest roomates I ever have to deal with,1172
nmgtQ_sYHpA,Ugy0njDf5NWPyYGU5ZJ4AaABAg,@MLG9021,2021-07-06,Tord in 2006: F is for Friends who do stuff together!Tord in 2016: What would I need friends for when I&#39;ve got this? I&#39;m unstoppable!,1113
nmgtQ_sYHpA,UgzSFmV7UX56zu4-LH54AaABAg,@gzomby,2018-06-11,This was The End before The End.,1062
nmgtQ_sYHpA,Ugxf975WeLF8za9C3id4AaABAg,@blurry4922,2018-06-02,paul&#39;s eyebrows are godly,932
nmgtQ_sYHpA,Ughg6kAJmUFAM3gCoAEC,@matteddsworld305,2016-12-06,This is 10 years old,910
nmgtQ_sYHpA,Ugw4EFNwOhpxkhvJoNt4AaABAg,@cyndilagataxd709,2020-09-04,2006 tord: F is for fun :D2016 tord: when I need friends for? When I have a gigant robot &gt;:D,877
nmgtQ_sYHpA,UgyuxJeOY-TdgCLaAAJ4AaABAg,@kaeojay,2017-08-09,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=26"">0:26</a> Tord did a toot",837
nmgtQ_sYHpA,Ugiz3QkljSe8y3gCoAEC,@whut1273,2016-07-28,"This might be a little late cuz I&#39;m on internet explorer, but nice 2nd video! And congrats on 124 subs!",804
nmgtQ_sYHpA,UgzB8U6bEY1tPpbMWLB4AaABAg,@Wonderhorse9006,2018-10-27,Edd: what is funMe: this show,774
nmgtQ_sYHpA,UgjhOwiD95p3DHgCoAEC,@TheGuardianEevee,2017-07-14,the end pt.1 in a nutshell,770
nmgtQ_sYHpA,UgznlOVvDV2-oaT4uf14AaABAg,@cynthialeal5467,2019-07-31,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=48"">0:48</a>Paul is beautyPaul is graceHis eyebrows are 90% of his face :D",708
nmgtQ_sYHpA,Ugw90J3J6uhT4m2NLjt4AaABAg,@xxxjmsmvidzxxx338,2017-11-25,This is For Edd..(Sorry if it doesn&#39;t make Sense)F is for Friends who Cares so much about youU is for you in peace(Heaven)N is for Nobody forgetting youAnd that&#39;s why I&#39;m Crying ;-;,626
nmgtQ_sYHpA,UgjFOXjN8nxvUXgCoAEC,@rerksandcheese9997,2016-03-20,this makes more sense since the latest episode,559
nmgtQ_sYHpA,UgzhmL9m3udg1yhrwlV4AaABAg,@babaazbabaaz7643,2017-12-09,10 likes means 10 cans of cola for edd,529
nmgtQ_sYHpA,UgiSKuK64eewoHgCoAEC,@jdjrt,2015-02-07,F is for friends who do stuff togetherU is for you and meC is for caring for each otherK is for the kindest of friends,506
nmgtQ_sYHpA,UgxNuSxGAdaOOTlBqlR4AaABAg,@naraheisent,2020-06-15,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=25"">0:25</a>Tord earned his nose",488
nmgtQ_sYHpA,UggACrIPyaSZp3gCoAEC,@herospirals,2017-06-26,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=18"">0:18</a>He was planning it from the start",460
nmgtQ_sYHpA,UgxtcWwGtbr2X8KhNox4AaABAg,@goodday3185,2021-06-01,I just want Edd back :(,401
nmgtQ_sYHpA,UghMCBTaLoK-j3gCoAEC,@asteryllis,2016-12-28,Tord was planning it all along,397
nmgtQ_sYHpA,UgwMQBwe21Wde2H4oft4AaABAg,@masmonaliya356,2018-06-13,Wait F is for friend who do stuff togetherU is for you and me N is for anywhere and anytime at allBut that F.U.A CUZ IS ANYWHERE THE WORD STARTED WITH A,375
nmgtQ_sYHpA,UgzXWmfw3qCVs9ISmJx4AaABAg,@yogurtbitez,2017-10-17,&quot;WHAT WOULD I NEED FRIENDS FOR!?&quot;...plays back this video</b>,365
nmgtQ_sYHpA,UgxcRa_f6ZW4vvCRQHR4AaABAg,@fawn5159,2020-02-06,"2006 : F is for friends who do stuff togetherU is for you &amp; meN is for anywhere &amp; anytime at all down here in the deep blue sea2016 : Tord betrays Edd,Matt &amp; Tom</b>",359
nmgtQ_sYHpA,Ughoi1dkK-cn83gCoAEC,@enzotherobot6556,2017-01-17,THIS SCARES ME A BIT BECAUSE OF THE END,335
nmgtQ_sYHpA,Ughl7m9StMh_XXgCoAEC,@J_T_Money,2017-06-09,This came out on the exact day I was born,329
nmgtQ_sYHpA,UgxeEgaDo6cB9dFCQnt4AaABAg,@christinahamilton7676,2019-03-10,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=16"">0:16</a>-<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=26"">0:26</a> I think that&#39;s why Tord was a bad guy in The End.",328
nmgtQ_sYHpA,UgyiwwZ-e7M24AkakoZ4AaABAg,@purupuru12206,2018-06-02,when you realize spongebob is older than your older sister</b>,326
nmgtQ_sYHpA,UgwpMzlKZYEF72DozJx4AaABAg,@drawingwithshadow4567,2018-11-17,<i>F IS FOR FIRE THAT BURNS DOWN THE WHOLE TOWN</i></b>-Tord,316
nmgtQ_sYHpA,UggRhtzTmJ7kj3gCoAEC,@314rft,2016-04-12,Old Spongebob + Old Eddsworld = PURE AMAZING!!!!,314
nmgtQ_sYHpA,Ugj-nerGyWnniHgCoAEC,@bunny0rgans845,2016-11-27,waitTom used to haVE ONE EYE-,292
nmgtQ_sYHpA,UgiD8lA-hAGLbHgCoAEC,@mataschmata,2016-04-22,this makes me so happy,287
nmgtQ_sYHpA,UgxA0fmzaqyOhN841LV4AaABAg,@sansdance2317,2018-07-17,F is for kicking tom out of the house U is for acting kind N is for blowing up edds house,280
nmgtQ_sYHpA,Ugh-SDb3ob5ZWngCoAEC,@CobaltCustard,2016-03-16,"How &#39;The End&#39; should have ended.Nah, kidding. I thought The End was a good conclusion to Eddsworld Legacy.",249
nmgtQ_sYHpA,UgzR3lSgT4RxshYIMNt4AaABAg,@isabellet4863,2017-11-23,I realized tords hair used to be dark brown.......,243
nmgtQ_sYHpA,Ugz2P91rVRubymPLFcZ4AaABAg,@itsjestjay,2020-05-15,"<a href=""https://www.youtube.com/watch?v=nmgtQ_sYHpA&amp;t=4"">0:04</a> Friends? What would I need “friends” for when I have this!? I’M UNSTOPPABLE!",239
nmgtQ_sYHpA,Ugw4u6F7-ZLTEX_b0dN4AaABAg,@2deadlygrim,2020-07-30,When I keep watching this. It makes me tear up bc tord left and forgot about his lesson-,208
nmgtQ_sYHpA,UgwrL4Xr1bKTkQ5nUCh4AaABAg,@sandcat2327,2020-10-01,After all this time. Wow. Two legends. They would be so glad to see us enjoy their content after so long.,178
nmgtQ_sYHpA,UgiD_Qdo8rnGm3gCoAEC,@bonniemultiverse4530,2016-09-18,wow now this actually makes sense,176
nmgtQ_sYHpA,Ugj0MfPT_whWtngCoAEC,@robloxstudiosolutions8400,2016-07-09,i had no clue that the F is for Fun song is this old...,172
nmgtQ_sYHpA,UgxENxh7p6-QC13OlhB4AaABAg,@rociotassara7034,2018-01-23,I feel old.,156
nmgtQ_sYHpA,Ugiu4-wmvoiQvngCoAEC,@strawberriezblu6675,2017-01-27,"id imagine Edd as Sponebob, and maybe Matt as Patrick, and... Tom is Squidward...Tords Plankton...i think thats sounds right.",154
nmgtQ_sYHpA,UgxhPRByMbadRCzIT894AaABAg,@samnelson9206,2017-11-22,I think this was the first official animation meme. lol,152
nmgtQ_sYHpA,Ugx76LqVLPbJzD1Af1Z4AaABAg,@vintdoo,2018-07-09,F is for pay respects,136
nmgtQ_sYHpA,Ugyc68t5icjfbByLt_B4AaABAg,@doublenaut443,2018-06-19,Wow they picked &quot;the red leaders&quot;personality already,131
nmgtQ_sYHpA,UgxTg74VN03IklU53cB4AaABAg,@caramelthecapricorn9295,2017-12-02,I like Tords version,130
nmgtQ_sYHpA,UgzFC-4527l1vc8sMH54AaABAg,@pensupremacy,2020-11-19,”Those things aren’t what fun is all about... 🥺”</b>That was so cute I just want to give him a hug ;w;,128
nmgtQ_sYHpA,UgwlDRWbjqpEUXOcUqZ4AaABAg,@Aar1b9030,2021-08-20,Edd-spongebobTom-squidwardMatt-Patrick Tord-PlanktonEduardo-Mr.crabsGary-Ringo,123
nmgtQ_sYHpA,Ugw3Qk9zY7_ZXKxznX14AaABAg,@goatmagnetduckquack1143,2018-10-04,<i>actual footage of Tord&#39;s redemption</i></b>,117
