video-id,comment-id,username,date,text,like-count
GR46_ohNh9U,Ugw2pSCz9o2v1Rfq2Ml4AaABAg,@Hawkwinter01,2022-10-25,"My favorite part is where he is asked what we can do to stop climate change, and his primary answer is to petition the government to address it.  Why?  Because big industry will have to be forced to address climate change, they&#39;ll not voluntarily do so, and they are the primary source of carbon dioxide.  Big industry puts forward that illusion, to avoid compliance themselves.   Much like recycling, it&#39;s a smoke screen, the creators of plastic items should be responsible for funding recycling, not the consumers.",6374
GR46_ohNh9U,UgxbrJSbUYHsD6lBlBh4AaABAg,@dasutin,2022-10-25,"&quot;On average, this is the hottest summer you&#39;ve ever experienced. It&#39;s also the coolest summer for the rest of your life.&quot;<br>Just gotta sit with that for a while...",5540
1MZFrJPPIQ8,UgyRO3jJedA0N-8bqeh4AaABAg,@cloudyOso,2022-08-10,"Disneyland literally uses millions of gallons of water a day for their little theme parks, rich people used thousands of gallons to keep their 2 acred lands in California nice and green as they leave those properties vacant year round. Sue corporations and rich people for mishandling water during a crisis",3494
GR46_ohNh9U,Ugx6LEE14sab0Tz9Msd4AaABAg,@GoofballLOL,2022-10-27,"I was arrested next to Peter on the 4/6 action with 2 other scientists. It was part of a global effort known as Scientists Rebellion, and over 1000 total scientists got arrested. <br><br>We were very surprised by the coverage it got in some areas, and not in others.",2124
GR46_ohNh9U,Ugz49qgUa_lzn4aGr9d4AaABAg,@greenredblue,2022-12-08,"I enjoy when people say we should terraform other planets because fixing the earth is too hard. Like, our sprinter caught a cold, so we should swap her out for a dude in a coma.",1646
GR46_ohNh9U,Ugz5NBs8JzYLiuSCnDJ4AaABAg,@strange_charm_x,2022-10-25,"As a PhD candidate who just started this year, working in cloud physics, it relieves me to hear him say that it&#39;s complicated... because it is!",1636
E6bVBH9y5O8,UgygS0DC0qtyZerMqTd4AaABAg,@tiredofallthis7716,2022-11-04,"Anyone, everyone in fact, that had decided the science is done has already abandoned science in favor of politics.",1579
MBKZWKeKYqE,UgywRc1Tj5lVDtLYBh94AaABAg,@peterhughes8699,2022-09-06,"As a scientist/ ecologist this video was an under statement imo. We&#39;re already hitting several tipping points and the impacts of plus 5m sea level rise were glossed over with rose coloured glasses. Not stated were the loss of 1000s of other ecosystems such as peat lands, alpine and sub alpine areas, cool temperate rainforests, wetlands, the sub arctic etc. The impact on human populations is also glossed over imo. Societies will increasingly fall into economic collapse and chaos and we can see that starting already in 2022.",1499
MBKZWKeKYqE,UgyGbiZojhDO99lcwl14AaABAg,@lyndaschroeder8117,2022-12-03,"AS an outdoor person  and an organic farmer 80 years old I have seen the loss of many insect, and bird species that we need to pollinate our food...so sad, scary.",1376
GR46_ohNh9U,UgycCkBUCJPFZo7DECl4AaABAg,@avd-wd9581,2024-05-10,“We’ll go down in history as the first society that wouldn&#39;t save itself because it wasn&#39;t cost effective.” – Kurt Vonnegut,1362
GR46_ohNh9U,UgygP-086Ql9mkWFwfZ4AaABAg,@tahaymvids1631,2022-10-30,"When he said “On average, this is the hottest summer you’ve ever experienced, it’s also the coolest summer for the rest of your life”, that really truly hit me.",1305
GR46_ohNh9U,UgyX7HL_UJeUjdTKait4AaABAg,@fal_pal_,2022-10-28,"I love his emphasis on mitigating suffering. That needs to be our priority, to have compassion and empathy for each other and our planet, not to buy our way out of a crisis.",1180
MBKZWKeKYqE,Ugzd1FyEjjrdb1yBkMp4AaABAg,@deepashtray5605,2022-09-06,There are too many powerful greedy people in the world who could watch this and say &quot;I can live with that.&quot;,984
E6bVBH9y5O8,UgxO_Xolud6ReEPSAFJ4AaABAg,@StaticR,2022-09-15,"honestly love the way you talk about this<br>&quot;the people who discovered how the climate naturally changes over time are climate scientists, the same group of people who discovered the climate change we&#39;re currently facing is human caused.&quot; is kind of a connection that should be obvious but it really hits different when spoken out loud.<br><br>kind of a fun realization seeing how the reason the example comment at the start of the video knows about it in the first place are the same people he&#39;s trying to use that argument against.",955
E6bVBH9y5O8,UgxV-ukjNEJpPloKxXN4AaABAg,@besmart,2022-09-15,Enjoy this short video about climate change! I&#39;ll heart any comment if you can prove you watched the whole thing 🤓,791
GR46_ohNh9U,Ugzrxu8wem7FYoRgFTR4AaABAg,@allthingstoallmen8912,2022-10-25,"You know what, I respect this man for getting out there and getting arrested for change",787
1MZFrJPPIQ8,Ugw1ejEpc9sYDJfqqGF4AaABAg,@brilliantmind9729,2022-08-10,Water is far more precious than gold. We can live without gold but we can never live without water,780
GR46_ohNh9U,Ugz0JyX6jU2TPguEvS14AaABAg,@joaomarcosjunqueira4965,2022-10-25,"Here we can see that he has, pretty much, lost all hope, and is just trying his best to warn and educate people in like a last desperate cry for help. But at the same time he delivers the information with so much eloquence and in a controlled way that I think he could reach some people. Well, I lost all hope too, and I don&#39;t have 1/1000000 of his knowledge about the subject, but I hope he keeps trying to reach people like this.",762
MBKZWKeKYqE,Ugwz4C30S74-W-oAoKN4AaABAg,@johnmcnulty4425,2022-09-06,"The Thwaits glacier alone will cause chaos because even a few feet of ocean rise will cause millions upon millions of people to move farther inland and we have seen just recently how horribly humans react to immigrants moving into other people&#39;s region.  And make no mistake, Thwaits is going now in real time..   And yet, I know many people who&#39;ve had babies this year.  Wow, good luck, babies.",738
puggApj9Z50,UgxiUPE4UI8rut7pqdt4AaABAg,@BluetheRaccoon,2022-09-19,"I was doing some digging to figure out who dumped arsenic in the great salt lake and have seen that dry lake beds are being considered for future wastewater dumping, and I can&#39;t imagine how bad the environmental impact will be if these things are allowed. An east coast company wants to dump coal ash, lead and mercury in it, while the Jordan Valley Water Conservancy wants to dump selenium-laden wastewater into it. I don&#39;t understand people who refuse to see consequences for the dollar numbers.",737
GR46_ohNh9U,UgzMlTZoWEJxD1LhFzp4AaABAg,@zg4705,2022-10-25,Bring this guy Back!!!! we need MORE of him,667
E6bVBH9y5O8,Ugzhhqv1BVvcKYtATT54AaABAg,@Kurtlane,2023-02-08,Ignorance in itself is not a major problem. It becomes a major problem when combined with arrogance.,574
MBKZWKeKYqE,UgySGh8Wt7ZkImO9cRN4AaABAg,@nekoeko500,2022-09-08,"When I was a kid, I would come up in the morning and see the frost in every patch of grass; this would go on for at least two weeks straight during the winter.<br>My last year on my old city, about three years ago, I did not see the same a single day.<br>Also populations of birds and insects have dramatically decreased since I was a kid, which had decreased since my parents were kids.<br>Now, I&#39;m south-american, my wife is eastern-european and says simillar things have happenned there too.<br>My point is it&#39;s real, it&#39;s worldwide and it&#39;s bad.",557
